noise_1_channel	noise_2_channel	noise_3_channel	noise_4_channel	amp_channel	trig_channel
-32767	1	-18	-19	47	9411
32767	1	1	-19	28	3001
-32767	1	-18	-19	28	6526
32767	1	-18	-19	47	6130
-32767	1	-18	-19	47	3811
8077	1	-18	-19	9	8393
-8547	1	-18	-19	-10	2115
-22643	1	-18	-19	28	9637
17625	1	1	0	65	1097
-32767	1	-18	-19	47	10071
32767	-18	-37	-19	28	1662
-32767	1	-18	-19	47	8053
32767	1	1	-19	47	4566
-32767	1	-18	-19	47	5075
22400	1	1	-19	9	7431
-21530	1	-18	0	47	2812
-7679	20	1	-19	47	9128
4699	20	-37	-19	65	1549
-32767	-18	-18	-19	47	10071
30268	1	-18	-19	47	1059
-32767	1	-18	-19	47	9411
32767	1	-18	-19	47	3114
-32767	1	-18	-19	47	6545
32767	-18	-18	-19	28	6130
-32767	1	-18	-19	28	3793
7926	1	-37	-19	9	8412
-8415	1	1	-19	28	2096
-22776	1	-18	-19	9	9713
17795	1	1	-19	28	1134
-32767	1	-18	-19	9	10071
32767	1	-18	-19	28	1719
-32767	1	-18	-38	47	8072
32767	-18	-18	-19	47	4622
-32767	1	-18	-19	28	5018
22513	1	-18	-19	47	7450
-21643	1	-18	-19	47	2869
-7547	-18	-18	-19	47	9147
4699	1	-18	-19	9	1530
-32767	1	1	-19	9	10071
30155	1	-18	-19	9	1115
-32767	1	-18	-19	9	9411
32767	1	1	-19	28	2925
-32767	20	-18	-19	28	6526
32767	-18	-18	-19	47	6130
-32767	-18	-18	-19	28	3830
8020	1	-18	0	28	8374
-8585	1	-18	-19	28	2077
-22757	20	-18	-19	28	9656
17569	1	1	0	28	1115
-32767	1	1	-19	28	10090
32767	1	1	-19	47	1700
-32767	1	-18	-19	47	8129
32767	1	-18	-19	28	4622
-32767	1	1	-19	28	5075
22683	-18	-18	-19	28	7375
-21832	1	-18	-38	47	2869
-7245	-18	-18	-19	65	9147
4360	1	1	-19	28	1549
-32767	1	-18	-19	47	10052
29872	1	-18	-19	65	1078
-32767	-18	1	-19	28	9411
32767	1	-18	-19	9	3057
-32767	1	1	-19	28	6545
32767	-18	-18	-19	65	6074
-32767	1	-18	0	28	3793
8247	1	1	-19	47	8431
-8698	1	1	-19	65	2115
-22530	1	1	-19	84	9675
17474	1	-18	-19	9	1115
-32767	-18	1	-19	28	10109
32767	1	-18	-19	65	1738
-32767	-18	-37	-19	9	8091
32767	1	-18	0	65	4603
-32767	1	-18	-19	28	5093
22739	1	1	-19	28	7394
-21926	1	-18	-19	28	2831
-7321	1	-18	-19	28	9128
4435	1	-18	-19	-10	1568
-32767	-18	1	-19	47	10071
29910	1	1	0	47	1097
-32767	1	-18	0	47	9373
32767	-18	1	-19	47	2982
-32767	1	-18	-19	28	6621
32767	-18	-18	0	9	6149
-32767	-18	1	-19	47	3811
8153	1	1	-19	28	8374
-8661	1	1	0	47	2096
-22587	1	-18	-19	47	9656
17701	1	1	-19	28	1115
-32767	1	-18	-19	9	10071
32767	1	1	-19	9	1756
-32767	1	-18	0	47	8110
32767	1	-18	-19	28	4547
-32767	1	-18	0	47	4999
22494	-18	-18	0	47	7412
-21568	1	1	-19	28	2850
-7491	1	-18	0	28	9185
4454	1	-18	-19	28	1549
-32767	-18	-18	-19	28	10052
29985	1	-18	0	28	1078
-32767	1	1	-19	47	9392
32767	1	-18	-19	47	3038
-32767	1	-18	-19	28	6526
32767	1	-18	-19	9	6206
-32767	1	-18	-19	28	3811
8304	-18	1	-19	47	8374
-8698	1	-18	0	47	2077
-22436	1	-18	-19	47	9656
17456	1	1	0	47	1172
-32767	1	1	-19	47	10071
32767	1	-18	0	65	1662
-32767	1	-18	-19	47	8110
32767	-18	-18	-19	65	4660
-32767	1	-18	0	28	5093
22626	-18	1	-19	28	7412
-21851	1	-18	-19	47	2850
-7283	-18	-18	-19	28	9147
4435	1	-18	-19	47	1549
-32767	-18	1	-19	9	10052
29966	1	-18	-19	47	1040
-32767	1	-18	-19	28	9411
32767	-18	-18	-19	65	3020
-32767	1	-18	-19	28	6545
32767	1	-18	-19	28	6093
-32767	1	-18	0	28	3811
8115	1	-18	0	47	8412
-8812	-18	-18	-19	28	2115
-22568	1	-18	-19	65	9675
17493	1	-18	0	47	1115
-32767	1	-18	-19	28	10071
32767	1	-18	-19	47	1756
-32767	-18	1	-19	47	8072
32767	1	-18	-19	28	4566
-32767	1	-37	-19	47	5018
22475	-18	-18	-19	47	7394
-21662	-18	-18	-19	28	2869
-7378	1	-18	-19	47	9128
4511	1	-18	-19	28	1530
-32767	1	-18	-19	47	10090
30004	1	1	-19	65	1115
-32767	1	-18	-19	65	9392
32767	1	1	-19	28	3020
-32767	1	-18	-19	47	6545
32767	-18	-18	0	28	6149
-32767	-18	-18	-19	47	3793
7983	-18	-18	0	-29	8393
-8415	-18	-18	-19	28	2096
-22889	1	-18	-19	28	9713
17739	20	1	0	28	1097
-32767	1	-18	-19	47	10071
32767	1	-18	0	47	1719
-32767	1	-18	-19	47	8148
32767	1	1	0	28	4716
-32767	1	1	-19	47	5037
22475	1	1	-19	28	7431
-21662	1	-18	-19	47	2850
-7321	1	1	0	9	9166
4567	1	1	0	28	1530
-32767	1	-18	-19	47	10052
29702	1	1	0	28	1097
-32767	1	1	0	9	9392
32767	1	1	-19	47	2982
-32767	1	1	-19	84	6489
32767	1	1	-19	65	6112
-32767	1	1	-19	47	3830
8171	1	-18	0	28	8412
-8736	1	-18	0	47	2115
-22474	1	-18	0	28	9656
17588	1	1	0	65	1134
-32767	1	1	-19	84	10071
32767	1	-18	0	28	1700
-32767	1	-18	-19	47	8072
32767	1	-18	-19	28	4566
-32767	1	1	0	28	5075
22664	-18	19	-19	47	7412
-21757	1	1	-19	28	2812
-7302	1	1	-19	9	9109
4341	1	1	-19	9	1568
-32767	1	-18	-19	28	10052
29778	1	-18	-19	9	1059
-32767	1	-18	0	28	9373
32767	-18	-18	-19	47	2982
-32767	1	-18	-19	28	6621
32767	1	1	-19	47	6074
-32767	-18	1	0	47	3811
8511	1	1	-19	47	8393
-8925	1	-18	-19	28	2133
-22304	1	-18	-19	47	9694
